dataHoraCotacao,valor_cotacao,timestamp_processamento
2017-07-22,3.125,2026-04-11T15:11:55.728Z
2017-07-23,3.125,2026-04-11T15:11:55.728Z
2017-07-24,3.1453,2026-04-11T15:11:55.728Z
2017-07-25,3.155,2026-04-11T15:11:55.728Z
2017-07-26,3.1651,2026-04-11T15:11:55.728Z
2017-07-27,3.1507,2026-04-11T15:11:55.728Z
2017-07-28,3.1451,2026-04-11T15:11:55.728Z
2017-07-29,3.1451,2026-04-11T15:11:55.728Z
2017-07-30,3.1451,2026-04-11T15:11:55.728Z
2017-07-31,3.1301,2026-04-11T15:11:55.728Z
2017-08-01,3.1154,2026-04-11T15:11:55.728Z
2017-08-02,3.1262,2026-04-11T15:11:55.728Z
2017-08-03,3.1188,2026-04-11T15:11:55.728Z
2017-08-04,3.1218,2026-04-11T15:11:55.728Z
2017-08-05,3.1218,2026-04-11T15:11:55.728Z
2017-08-06,3.1218,2026-04-11T15:11:55.728Z
2017-08-07,3.1261,2026-04-11T15:11:55.728Z
2017-08-08,3.1314,2026-04-11T15:11:55.728Z
2017-08-09,3.1458,2026-04-11T15:11:55.728Z
2017-08-10,3.1537,2026-04-11T15:11:55.728Z
2017-08-11,3.1689,2026-04-11T15:11:55.728Z
2017-08-12,3.1689,2026-04-11T15:11:55.728Z
2017-08-13,3.1689,2026-04-11T15:11:55.728Z
2017-08-14,3.1882,2026-04-11T15:11:55.728Z
2017-08-15,3.197,2026-04-11T15:11:55.728Z
2017-08-16,3.1664,2026-04-11T15:11:55.728Z
2017-08-17,3.1597,2026-04-11T15:11:55.728Z
2017-08-18,3.1648,2026-04-11T15:11:55.728Z
2017-08-19,3.1648,2026-04-11T15:11:55.728Z
2017-08-20,3.1648,2026-04-11T15:11:55.728Z
2017-08-21,3.1437,2026-04-11T15:11:55.728Z
2017-08-22,3.1533,2026-04-11T15:11:55.728Z
2017-08-23,3.1563,2026-04-11T15:11:55.728Z
2017-08-24,3.1398,2026-04-11T15:11:55.728Z
2017-08-25,3.1456,2026-04-11T15:11:55.728Z
2017-08-26,3.1456,2026-04-11T15:11:55.728Z
2017-08-27,3.1456,2026-04-11T15:11:55.728Z
2017-08-28,3.1557,2026-04-11T15:11:55.728Z
2017-08-29,3.1689,2026-04-11T15:11:55.728Z
2017-08-30,3.1632,2026-04-11T15:11:55.728Z
2017-08-31,3.1465,2026-04-11T15:11:55.728Z
2017-09-01,3.1327,2026-04-11T15:11:55.728Z
2017-09-02,3.1327,2026-04-11T15:11:55.728Z
2017-09-03,3.1327,2026-04-11T15:11:55.728Z
2017-09-04,3.1383,2026-04-11T15:11:55.728Z
